ID,Main Artist,Featuring,Song,Key,BPM,Duration,Genre,Language,Country,Year Released,Arrangement,Piano?,Guitar solo?,Classic?,Main Artist_normalized,Featuring_normalized,Song_normalized,Genre_normalized,Language_normalized,Country_normalized,Arrangement_normalized,Key_normalized,BPM Range,Year Range
1.0,Honne,,Day 1,Db,100,3:53,['Alternative'],['English'],['UK'],2018,[],,,,honne,,day 1,['alternative'],['english'],['uk'],[],db,100.0,2010.0
2.0,Juan Luis Guerra,,Tu,E,128,3:56,['Bachata'],['Spanish'],['Dominican Republic'],2004,[],,,,juan luis guerra,,tu,['bachata'],['spanish'],['dominican republic'],[],e,120.0,2000.0
3.0,Okills,,Canción normal,Gb,90,3:46,['Rock'],['Spanish'],['Venezuela'],2017,[],,,,okills,,cancion normal,['rock'],['spanish'],['venezuela'],[],gb,90.0,2010.0
4.0,Karol G,,Mientras Me Curo Del Cora,C,85,2:42,['Reggaeton'],['Spanish'],['Colombia'],2023,[],,,,karol g,,mientras me curo del cora,['reggaeton'],['spanish'],['colombia'],[],c,80.0,2020.0
7.0,Maná,,En El Muelle De San Blás,D,97,5:52,['Rock'],['Spanish'],['Mexico'],1997,[],,,,mana,,en el muelle de san blas,['rock'],['spanish'],['mexico'],[],d,90.0,1990.0
8.0,Luis Enrique,,Asi llegaste tu,E,98,4:51,['Salsa'],['Spanish'],['Nicaragua'],2009,[],,,,luis enrique,,asi llegaste tu,['salsa'],['spanish'],['nicaragua'],[],e,90.0,2000.0
9.0,Luis Enrique,,Amuleto Secreto,G,92,4:53,['Salsa'],['Spanish'],['Nicaragua'],2010,[],,,,luis enrique,,amuleto secreto,['salsa'],['spanish'],['nicaragua'],[],g,90.0,2010.0
10.0,Luis Enrique,,Timbalaye,G#m,118,4:15,['Salsa'],['Spanish'],['Nicaragua'],2011,[],,,,luis enrique,,timbalaye,['salsa'],['spanish'],['nicaragua'],[],g#m,110.0,2010.0
11.0,Pedró Capó,,Calma (ft. Farruko),D,127,3:58,['Reggaeton'],['Spanish'],['Puerto Rico'],2018,[],,,,pedro capo,,calma (ft. farruko),['reggaeton'],['spanish'],['puerto rico'],[],d,120.0,2010.0
12.0,The Chicks,,Goodbye Earl,C,123,4:26,['Country'],['English'],['United States'],1999,[],,,,the chicks,,goodbye earl,['country'],['english'],['united states'],[],c,120.0,1990.0
